Control,Title,Theme,Applicable Y/N,Justification for inclusion or exclusion,Implementation status,Evidence held or required,Owner (job title),Related risk ID,Related maturity Category,Related supplier finding,Target date,Basis for inclusion,Control maturity (0-4)
A.8.1,User endpoint devices,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.2,Privileged access rights,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.3,Information access restriction,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.4,Access to source code,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.5,Secure authentication,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.6,Capacity management,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.7,Protection against malware,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.8,Management of technical vulnerabilities,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.9,Configuration management,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.10,Information deletion,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.11,Data masking,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.12,Data leakage prevention,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.13,Information backup,Technological,Y,"[EXAMPLE] Seatbelt control for R-002 ransomware: acts after the event to limit impact. Snapshots exist but no restore has been tested, so no credit is taken.",Partial,Held: [backup configuration]. Required: [backup policy; dated restore test],IT Operations Manager,[R-002],[PR.IR; RC.RP],[F-013],[15 Dec 2026],Risk + Maturity gap + Vendor finding,1
A.8.14,Redundancy of information processing facilities,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.15,Logging,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.16,Monitoring activities,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.17,Clock synchronization,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.18,Use of privileged utility programs,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.19,Installation of software on operational systems,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.20,Networks security,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.21,Security of network services,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.22,Segregation of networks,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.23,Web filtering,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.24,Use of cryptography,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.25,Secure development life cycle,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.26,Application security requirements,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.27,Secure system architecture and engineering principles,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.28,Secure coding,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.29,Security testing in development and acceptance,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.30,Outsourced development,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.31,"Separation of development, test and production environments",Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.32,Change management,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.33,Test information,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
A.8.34,Protection of information systems during audit testing,Technological,[Y/N],"[Why the organisation's risks, obligations or stakeholders need this control - or, if N, why excluded and what would bring it back]",[Formula: 0=Not started; 1-2=Partial; 3-4=Implemented; N=N/A - excluded],Held: [evidence]. Required: [evidence],[Job title],[Risk ID(s) or -],[Category or -],[Vendor finding or -],[DD Mon YYYY],[Risk / Maturity gap / Vendor finding / Contractual-stakeholder - NOT risk-based / Legal - NOT risk-based / Excluded],[0-4]
