Control,Title,Theme,Applicable Y/N,Justification for inclusion or exclusion,Implementation status,Evidence held or required,Owner (job title),Related CGI-RSK-001 v1.1 risk ID,Related CGI-GAP-001 Category,Related CGI-TPR-001 finding,Target date,Basis for inclusion,Control maturity (0-4),In CGI-GAP-001 mapping (Y/N),CGI-GAP-001 mapped under,Roadmap link
A.8.4,Access to source code,Technological,Y,"Missed by CGI-GAP-001. CGI-POL-002 section 4.5.2 secret scanning is a recorded fragment, but repository access and write rights are uncontrolled. Kept at Not started to agree with PR.PS = 0.",Not started,Held: CGI-POL-002 section 4.5.2 (fragment). Required: repository access review; branch protection configuration export.,Chief Technology Officer,R-004,PR.PS,"CGI-VEN-002 GitHub: Tier 1, inherent 15 Critical, no branch protection on the CGI side",31 Mar 2027,Risk + Maturity gap + Vendor finding,0,N,-,REC-06
A.8.5,Secure authentication,Technological,Y,MFA is mandated and 80% enrolled; ACC-001 accepts SMS until 03 Mar 2027. This is a brakes control: it acts before the break-in.,Partial,Held: CGI-TRK-001 (80%). Required: 100% enrolment export; phishing-resistant MFA on all admins.,IT Operations Manager,R-001,PR.AA,F-003 (no SSO on Slack); F-010,31 Dec 2026,Risk + Maturity gap + Vendor finding,2,Y,PR.AA,REC-01
A.8.6,Capacity management,Technological,Y,"No register risk covers capacity exhaustion, and CGI-GAP-001 does not map it. Included because ~200 customers depend on platform availability (assumption ISO-A04); CGI already asks this of its own vendors (VQ-55). Candidate risk CR-02 is proposed rather than invented.",Not started,Held: none. Required: capacity monitoring thresholds; quarterly capacity review.,Chief Technology Officer,-,-,-,30 Jun 2027,Contractual / stakeholder - NOT risk-based,0,N,-,ISO-11
A.8.7,Protection against malware,Technological,Y,No anti-malware standard covers the 50 BYOD endpoints (GAP-020).,Not started,Held: CGI-POL-001 section 4.2.3 forbids disabling endpoint protection (a fragment: nothing requires it to be installed or checks that it is). Required: endpoint protection standard; coverage report.,IT Operations Manager,R-002; R-001,RS.MI,-,31 Mar 2027,Risk + Maturity gap,0,Y,RS.MI,ISO-11
A.8.8,Management of technical vulnerabilities,Technological,Y,"PR.PS = 0 and CG-02: no scanning, no remediation SLA, CGI-POL-008 unwritten. The endpoint patch rule (CGI-POL-001 section 4.4.3) is a fragment that does not cover the platform, so the status is Not started.",Not started,Held: CGI-POL-001 section 4.4.3 (fragment). Required: CGI-POL-008; authenticated scan reports; remediation tickets within SLA.,Chief Technology Officer,R-002; R-004,PR.PS; ID.RA,CG-02,31 Mar 2027,Risk + Maturity gap + Vendor finding,0,Y,ID.RA; PR.PS,REC-08
A.8.9,Configuration management,Technological,Y,CG-03: there is no AWS configuration baseline and no drift detection (PR.IR = 0). This is the documented reason R-005 stays High.,Not started,Held: none. Required: CIS AWS Foundations baseline; posture-monitoring reports.,IT Operations Manager,R-005; R-004,PR.PS; PR.IR,F-010; CG-03,30 Jun 2027,Risk + Maturity gap + Vendor finding,0,Y,PR.PS; PR.IR,REC-11
A.8.10,Information deletion,Technological,Y,"Deletion is designed for vendor exits (clause 12, VQ-73) but not for CGI's own systems: no retention or deletion schedule has been executed (GAP-012).",Partial,"Held: CGI-POL-004 section 4.2 retention limits and disposal methods (designed, never executed); CGI-TPR-001 clause 12. Required: retention and deletion schedule; deletion certificates.",Chief Technology Officer,R-003; VR-001; VR-006,PR.DS,F-005; clause 12 (certified deletion) in CGI-TPR-001 section 7.4,31 Mar 2027,Risk + Maturity gap + Vendor finding,1,Y,PR.DS,REC-17; ISO-08
A.8.11,Data masking,Technological,Y,There is no masking of customer data in logs or lower environments; Project 1's mapping to the Handling Matrix was weak and is not credited.,Not started,Held: none. Required: masking rule for logs and test data; Datadog scrubbing configuration.,Chief Technology Officer,R-003; VR-004,PR.DS,CGI-VEN-007 Datadog: log scrubbing rules not verified,30 Jun 2027,Risk + Maturity gap + Vendor finding,0,Y,PR.DS,ISO-11
A.8.12,Data leakage prevention,Technological,Y,CG-05: there is no data-loss prevention; monitoring is metadata-only.,Not started,"Held: CGI-POL-001 section 4.5.2, a behavioural rule against entering Confidential data into unapproved AI tools (a fragment, not leakage prevention). Required: egress and DLP rules on Google Workspace and GitHub; alert samples.",Chief Technology Officer,R-003,PR.DS; DE.CM,VR-006 (AI tools reading typed text),30 Sep 2027,Risk + Maturity gap + Vendor finding,0,Y,PR.DS; DE.CM,REC-17
A.8.13,Information backup,Technological,Y,"Seatbelt, not brakes: backup acts after the bang, limiting the impact of R-002 ransomware. Snapshots exist but have never been restored (CG-01), so no credit is taken.",Partial,Held: AWS snapshot configuration. Required: CGI-POL-006; dated restore test to a clean environment; six-monthly repeat.,IT Operations Manager,R-002; VR-002,PR.IR; RC.RP,F-013; VRA-2026-001 C4,15 Dec 2026,Risk + Maturity gap + Vendor finding,1,Y,PR.IR; RC.RP,REC-03
A.8.14,Redundancy of information processing facilities,Technological,Y,No redundancy design is documented for the platform. The status-page placement is a design-time fragment only.,Not started,Held: none. Required: availability architecture record (zones and regions); failover test.,Chief Technology Officer,R-002; VR-002,PR.IR,VR-002; CGI-VEN-017 deliberately hosted off AWS,30 Jun 2027,Risk + Maturity gap + Vendor finding,0,Y,PR.IR,ISO-11
A.8.15,Logging,Technological,Y,"Some logs exist ad hoc (application logs in Datadog), but organisation-wide CloudTrail is unverified and there is no central security log or retention (DE.CM = 1).",Partial,Held: Datadog APM (engineering use). Required: CloudTrail with validation; central log account; retention standard.,IT Operations Manager,R-003; R-005; VR-004,DE.CM; DE.AE; RS.AN,F-008; F-010 (CloudTrail CUEC); CGI-VEN-007 not a security log source,31 Mar 2027,Risk + Maturity gap + Vendor finding,1,Y,DE.CM; DE.AE; RS.AN,REC-07
A.8.16,Monitoring activities,Technological,Y,"There is no alerting on root use, IAM change, public S3 or mass download (GAP-015).",Not started,"Held: CGI-POL-001 section 4.10 monitoring notice (a fragment: it tells staff monitoring may occur, but no alert exists). Required: alert rules; alert-handling records.",IT Operations Manager,R-003; R-005,DE.CM; DE.AE,F-010,31 Mar 2027,Risk + Maturity gap + Vendor finding,0,Y,DE.CM; DE.AE,REC-07
A.8.17,Clock synchronization,Technological,Y,Missed by CGI-GAP-001. A supporting control: logs without a common time source cannot support A.5.28 investigations. The provider time source is assumed but not verified.,Not started,Held: none. Required: configuration evidence of a common time source.,IT Operations Manager,R-003; VR-004,DE.CM; RS.AN,-,31 Mar 2027,Risk + Maturity gap,0,N,-,REC-07
A.8.18,Use of privileged utility programs,Technological,Y,Missed by CGI-GAP-001. Administrative tooling with broad IAM rights is unrestricted and unrecorded.,Not started,Held: none. Required: list of privileged tools and who may use them.,IT Operations Manager,R-005; R-003,PR.AA,-,30 Jun 2027,Risk + Maturity gap,0,N,-,REC-11
A.8.19,Installation of software on operational systems,Technological,Y,Missed by CGI-GAP-001. Software reaches production with no controlled release process (PR.PS = 0).,Not started,Held: CGI-POL-001 section 4.6.2 (an endpoint software rule; a fragment that does not reach production). Required: release procedure in CGI-POL-007; deployment pipeline records.,Chief Technology Officer,R-004; R-002,PR.PS,-,31 Mar 2027,Risk + Maturity gap,0,N,-,REC-06
A.8.20,Networks security,Technological,Y,"There is no network security baseline (CG-03, PR.IR = 0).",Not started,Held: none. Required: security-group and VPC baseline; review record.,IT Operations Manager,R-005,PR.IR,-,30 Jun 2027,Risk + Maturity gap,0,Y,PR.IR,REC-11
A.8.21,Security of network services,Technological,Y,"Missed by CGI-GAP-001. Security requirements for the network services consumed (VPC, DNS, TLS endpoints) are not defined.",Not started,Held: none. Required: network service requirements; provider evidence mapped.,IT Operations Manager,R-005; VR-004,PR.IR,-,30 Jun 2027,Risk + Maturity gap,0,N,-,REC-11
A.8.22,Segregation of networks,Technological,Y,Segmentation is undocumented (GAP-014). The remediation stays at Q4 2027 in the risk treatment plan; the boundary documentation moves forward into ISO-02.,Not started,Held: none. Required: segmentation diagram; production access boundary.,IT Operations Manager,R-005; R-004,PR.IR,-,31 Dec 2027,Risk + Maturity gap,0,Y,PR.IR,REC-18 (split - see RC-04)
A.8.23,Web filtering,Technological,Y,Missed by CGI-GAP-001. There is no web filtering on BYOD endpoints; a DNS-filtering option is proposed.,Not started,Held: none. Required: filtering configuration; coverage report.,IT Operations Manager,R-001; R-002,PR.PS,-,30 Jun 2027,Risk + Maturity gap,0,N,-,ISO-11
A.8.24,Use of cryptography,Technological,Y,"Seatbelt control: it reduces the impact of a stolen copy (VR-004). There is no encryption standard (GAP-012). Server-side encryption does NOT reduce the impact of a public-bucket misconfiguration (R-005), because the service decrypts for any request the misconfiguration allows.",Not started,"Held: CGI-POL-004 section 4.2 says where encryption is required and CGI-POL-001 section 4.4.1 requires disk encryption on devices (fragments: no algorithms, TLS minimum or key management are defined). Required: cryptography standard (algorithms, TLS minimum, key management); KMS configuration.",Chief Technology Officer,VR-004; R-005,PR.DS,F-010 (encryption-management CUEC),31 Mar 2027,Risk + Maturity gap + Vendor finding,0,Y,PR.DS,ISO-11
A.8.25,Secure development life cycle,Technological,Y,PR.PS = 0 and CG-02: there is no secure development lifecycle and CGI-POL-007 is unwritten.,Not started,Held: none. Required: CGI-POL-007 approved; SDLC evidence per release.,Chief Technology Officer,R-004,PR.PS,CG-02,31 Mar 2027,Risk + Maturity gap + Vendor finding,0,Y,PR.PS,REC-06
A.8.26,Application security requirements,Technological,Y,"Missed by CGI-GAP-001. No application security requirements are defined for features, including authorisation rules.",Not started,Held: none. Required: requirements template; sample completed per feature.,Chief Technology Officer,R-004,PR.PS,-,31 Mar 2027,Risk + Maturity gap,0,N,-,REC-06
A.8.27,Secure system architecture and engineering principles,Technological,Y,Missed by CGI-GAP-001. No secure architecture principles are documented; concentration on one provider was found only by drawing the dependency graph.,Not started,Held: CGI-TPR-001 section 2.5 dependency graph. Required: architecture principles; design review records.,Chief Technology Officer,R-004; R-005; VR-002,PR.IR,VR-002 concentration,31 Dec 2027,Risk + Maturity gap + Vendor finding,0,N,-,REC-18; ISO-02
A.8.28,Secure coding,Technological,Y,"PR.PS = 0 and CG-02: there is no mandatory peer review, no branch protection and no coding standard. This is a brakes control: it stops the authorisation flaw being written in the first place.",Not started,Held: CGI-POL-002 section 4.5.2 secret scanning (a fragment). Required: coding standard; branch-protection export; review records.,Chief Technology Officer,R-004,PR.PS,CG-02,31 Mar 2027,Risk + Maturity gap + Vendor finding,0,Y,PR.PS,REC-06; REC-16
A.8.29,Security testing in development and acceptance,Technological,Y,PR.PS = 0 and CG-02: no SAST (static application security testing) and no penetration test.,Not started,Held: none. Required: SAST results in CI; annual penetration test report.,Chief Technology Officer,R-004,PR.PS,CG-02,30 Sep 2027,Risk + Maturity gap + Vendor finding,0,Y,PR.PS,REC-16
A.8.30,Outsourced development,Technological,N,EXCLUDED. All development is performed by CGI employees (assumption ISO-A02). Re-include before any contractor or agency writes code. Supplier assurance for development tools (GitHub) is covered by A.5.19 to A.5.22.,N/A - excluded,Held: n/a. Required: exclusion approved in SoA v1.0.,Chief Technology Officer,-,-,-,N/A - re-evaluate at SoA review 30 Sep 2027,Excluded,,N,-,-
A.8.31,"Separation of development, test and production environments",Technological,Y,"PR.PS = 0 and CG-02: there is no recorded separation of development, test and production.",Not started,Held: none. Required: environment diagram; access separation evidence.,Chief Technology Officer,R-004; R-003,PR.PS,-,31 Mar 2027,Risk + Maturity gap,0,Y,PR.PS,REC-06
A.8.32,Change management,Technological,Y,PR.PS = 0 and CG-02: there is no change management policy or approval record.,Not started,Held: none. Required: CGI-POL-007 change section; change records.,Chief Technology Officer,R-004; R-005,PR.PS,CG-02,31 Mar 2027,Risk + Maturity gap + Vendor finding,0,Y,PR.PS,REC-06
A.8.33,Test information,Technological,Y,Missed by CGI-GAP-001. There is no rule preventing production customer data being used in lower environments.,Not started,Held: none. Required: test-data rule; masked data set evidence.,Chief Technology Officer,R-003; R-004,PR.DS,-,31 Mar 2027,Risk + Maturity gap,0,N,-,REC-06
A.8.34,Protection of information systems during audit testing,Technological,Y,No register risk covers this. Included because the ISO-12 internal audit and the REC-16 penetration test will touch production; the rules must exist before either runs.,Not started,Held: none. Required: audit and test rules of engagement.,Chief Technology Officer,-,-,-,30 Jun 2027,Contractual / stakeholder - NOT risk-based,0,N,-,ISO-12; REC-16
